109	no
151	no
172	yes
196	yes
257	no
274	no
334	no
477	yes
510	no
609	no
717	no
750	no
857	yes
901	yes
944	no
987	no
1029	no
1078	no
1201	no
1252	no
1303	yes
1323	no
1329	no
1390	no
1618	no
1675	yes
1706	no
1719	no
1836	no
2023	no
2047	no
2060	no
2114	no
2139	no
2145	no
2149	no
2187	no
2258	no
2284	no
2367	no
2435	no
2459	no
2632	no
2632	no
2781	no
2837	no
3065	no
3068	no
3123	no
3132	no
3168	no
3196	yes
3246	no
3271	no
3276	no
3373	yes
3391	no
3480	no
3527	no
3771	no
3812	no
3879	no
3945	yes
3976	no
4027	no
4099	no
4497	no
4541	no
4653	yes
4721	no
4839	no
4872	no
4888	no
4896	yes
4934	no
5042	no
5117	no
5130	yes
5503	yes
5523	no
5558	no
5738	no
5764	no
5801	no
5835	yes
5863	yes
5880	no
5929	no
6022	no
6378	no
6392	no
6401	no
6465	no
6478	yes
6595	no
6767	no
6908	no
6929	yes
7126	no
7183	yes
7209	no
7555	no
7681	yes
7688	no
7724	no
7767	yes
7881	no
7917	no
7931	yes
8240	no
8371	no
8454	no
8605	yes
8695	yes
8888	yes
8968	yes
8969	no
9050	yes
9114	no
9226	yes
9257	yes
9291	yes
9430	no
9505	no
9562	no
9799	no
9924	yes
9967	yes
10006	yes
10059	no
10061	yes
10068	yes
10120	yes
10131	no
10280	yes
10335	no
10375	yes
10563	no
10591	yes
10794	yes
10882	yes
11041	no
11044	yes
11087	no
11094	no
11134	no
11168	no
11265	no
11270	no
11292	no
11322	no
11329	yes
11401	no
11410	no
11450	no
11588	no
11741	no
11908	yes
11959	no
12050	yes
12078	no
12206	no
12249	yes
12385	yes
12395	no
12501	no
12609	no
12611	no
12702	yes
12738	yes
12762	yes
12779	no
12796	no
12815	no
12918	no
12919	no
12976	yes
13007	yes
13017	no
13074	yes
13117	no
13297	no
13405	no
13576	no
13701	no
13723	no
13888	no
13973	no
14071	no
14232	yes
14282	yes
14436	no
14504	no
14555	yes
14637	no
14639	no
14652	no
14697	no
14762	yes
14830	yes
